0 0 0.797805 0
0 3 0.0396135 0.954711
0 6 5.57785e-05 0.999936
0 9 1.74319e-09 1
0 12 1.10061e-15 1
0 15 1.34896e-23 1
0 18 3.14607e-33 1
0 21 1.38051e-44 1
0 24 1.13183e-57 1
0 27 1.72588e-72 1
0 30 4.87916e-89 1
0 33 2.55149e-107 1
0 36 2.46387e-127 1
0 39 4.3879e-149 1
0 42 1.43969e-172 1
0 45 8.69572e-198 1
0 48 9.66239e-225 1
2 -3 0.107971 0
2 0 0.470564 0.521973
2 3 0.0295858 0.973224
2 6 4.6128e-05 0.999958
2 9 1.51676e-09 1
2 12 9.86585e-16 1
2 15 1.23291e-23 1
2 18 2.9148e-33 1
2 21 1.29195e-44 1
2 24 1.06744e-57 1
2 27 1.63769e-72 1
2 30 4.65288e-89 1
2 33 2.44318e-107 1
2 36 2.36745e-127 1
2 39 4.22862e-149 1
2 42 1.39096e-172 1
2 45 8.42003e-198 1
4 -6 0.000267634 0
4 -3 0.258735 0.197852
4 0 0.37097 0.678884
4 3 0.0246569 0.981103
4 6 4.02127e-05 0.999969
4 9 1.36052e-09 1
4 12 9.01959e-16 1
4 15 1.14243e-23 1
4 18 2.72803e-33 1
4 21 1.21851e-44 1
4 24 1.01293e-57 1
4 27 1.56177e-72 1
4 30 4.45542e-89 1
4 33 2.34758e-107 1
4 36 2.28153e-127 1
4 39 4.08551e-149 1
4 42 1.34687e-172 1
6 -9 1.21506e-08 0
6 -6 0.0773561 0.0583295
6 -3 0.247758 0.303478
6 0 0.316361 0.728846
6 3 0.0215848 0.98367
6 6 3.61129e-05 0.999973
6 9 1.24437e-09 1
6 12 8.35939e-16 1
6 15 1.06934e-23 1
6 18 2.5731e-33 1
6 21 1.15631e-44 1
6 24 9.6599e-58 1
6 27 1.49551e-72 1
6 30 4.28114e-89 1
6 33 2.2624e-107 1
6 36 2.20433e-127 1
6 39 3.95602e-149 1
8 -12 1.01035e-14 0
8 -9 0.0383019 0.0287828
