50 0 137 290 360
100 0 143 265 360
200 0 144 257 360
300 70 145 285 339
400 114 141 280 327
500 113 141 277 331
600 113 126 278 336
700 133 150 311 339
800 136 154 311 340
900 137 154 309 339
1000 138 151 310 335
1100 142 150 309 326
1200 143 149 309 327
1300 143 148 312 313
1400 143 146 329 332
1500 144 145 330 330
1750 144 144 330 330
2000 144 144 330 330
3000 144 144 330 330
